title,price
Everything You Need to Ace Computer Science and Coding in One Big Fat Notebook: The Complete Middle School Study Guide (Big Fat Notebooks),374.82
Murach's Python Programming: Beginner to Pro,1619.76
Python in easy steps,847.88
Python Made Easy for High School Students: An Easy Step-by-Step Guide for Beginners to Build Coding Skills with Fun Projects and Real-Life Examples,1033.48
Teach Yourself VISUALLY Python,1060.88
"Python for beginners: Build 10 Real-World Projects from Scratch: Learn Python Step-by-Step by Creating Apps, Automating Tasks, and Solving Everyday Problems",1809.50
Build Projects with Python for Beginners: Publish an Open-Source Python Package,0.00
"Python Programming From Beginner to Expert Level: Hands-On Projects, Step-by-Step, Flask+SQLite & REST APIs, Testing/Debugging. With Exercises & Solutions to Finish What You Start.",1136.88
Python for Beginners: Learn to Code Without the Confusion (Practical Programming),0.00
"Python: An Illustrated Beginner’s Guide: Python Fundamentals for Beginners and New Systems Engineers: Practical Knowledge for Day-to-Day Work, Made Simple with Illustrations and Diagrams!",0.00
Python for Beginners: Master Python Programming Fast Through Clear Lessons and Projects for Absolute Beginners,0.00
Python Programming for Beginners: A Complete Step-by-Step Guide to Mastering Python Coding in Less Than a Month,1033.48
"Python for Absolute Beginners: A Step by Step Guide to Learn Python Programming from Scratch, with Practical Coding Examples and Exercises",0.00
"Coding for Beginners: Using Python [Hardcover] [Jan 01, 2017] Louie Stowell",1306.98
Python For Beginners: A Practical and Step-by-Step Guide to Programming with Python,154.58
Python for Everybody: Exploring Data in Python 3,51.18
Coding for Kids: Python: Learn to Code with 50 Awesome Games and Activities,
"Python Programming for Beginners with Projects: Learn Python from Scratch by Building Practical Apps, Automations, Games, and Real-World Projects with Confidence",0.00
Practical Python Projects for Beginners: practical Projects to Master Python Programming,0.00
"Mastering AI with Python: A Beginner’s Guide to Machine Learning, Deep Learning, Generative AI, LLMs, and AI Agents",826.68
Python for People Who Think They Can't Code: Python Basics for Absolute Beginners in 2025: Understanding Core Programming Concepts and Real-World Applications for Adults Ready to Explore Tech,930.08
"Python Programming for the Absolute Beginner, 3rd Edition",1726.78
"Python for Absolute Beginner (2026 Edition): Start Coding Today – No Experience Needed! Learn Python Basics Through Clear Explanations, Hands-On Exercises, ... Social Media, Coding, and Everyday Tech)",154.58
"Python Programming for Beginners 2026: The Complete Step-by-Step Guide to Master Python in 30 Days with Hands-On Projects, Real-Life Examples, and Practical Exercises",0.00
Python Programming for Beginners: The Most Updated Guide to Coding Mastery in Just 1 Week - A Crash Course in Integrating Theory and Practical Coding Through Engaging Projects,774.98
"Python 100 Projects for Beginners Learn Python by Building Mini-Apps, Games, Tools, and Automation Projects",1436.74
Python Programming for Beginners: A Kid's Guide to Coding Fundamentals,760.51
Python Programming made for Beginners - Code. Create. Explore.: 2 in 1 - Theory and Practical Books | Mastering Python - A Complete Guide with Concepts and Hands-On Practice,1007.63
Python Zero to Hero by Building Games: Python Foundations and GUI Mini Games,1550.48
"Python Programming From Beginner to Expert Level: Hands-On Projects, Step-by-Step, Flask+SQLite & REST APIs, Testing/Debugging. With Exercises & Solutions to Finish What You Start.",1136.88
Introduction to Programming in C,0.00
The Python Coding Book: A relaxed and friendly programming textbook for beginners,1292.50
Hands-On Image Processing and Computer Vision with Python: From image processing fundamentals to modern computer vision and generative AI,2584.48
Effective Python: 125 Specific Ways to Write Better Python (Effective Software Development Series),2894.68
"Python for Algorithmic Trading Cookbook: Recipes for designing, building, and deploying algorithmic trading strategies with Python",2325.98
Python Basics: A Practical Introduction to Python 3,1491.54
Automate the Boring Stuff with Python: Practical Programming for Total Beginners,952.83
"Learn Python Quickly: A Complete Beginner’s Guide to Learning Python, Even If You’re New to Programming: Crash Course with Hands-On Project, Book 1",0.00
"Invent Your Own Computer Games with Python, 4th Edition",978.68
"Python & AI for Beginners: Learn to Code, Build Machine Learning Projects, and Prepare for the AI Job Market (A Practical, Project-Based Guide)",0.00
Python Programming Projects Workbook for Kids: Master Python in 1 month with 150 Outrageously Fun Small Python Programs for Kids (2026 Python Coding for Absolute Beginners),1033.48
Python Cheat Sheet Encyclopedia: The Fastest Way to Learn and Use Python Without Getting Overwhelmed,671.58
Python Simplified: A Crash Course in Practical Programming for Beginners: Master Essential Python Skills and Start Coding Right Away,0.00
"SQL QuickStart Guide: The Simplified Beginner's Guide to Managing, Analyzing, and Manipulating Data With SQL (Coding & Programming - QuickStart Guides)",1099.14
Machine Learning With Python For Beginners: A Step-By-Step Guide with Hands-On Projects (Learn Coding Fast with Hands-On Project Book 7),0.00
Python Programming for Beginners: The Ultimate Beginner's Guide to Learn Python Programming Step-by-Step (Computer Programming),0.00
"Django for Beginners, 5th Edition: Build Modern Web Applications with Python",1867.92
"Python APIs for Beginners: Connect Apps, Automate Workflows, and Use Web Data with Simple Code",154.58
Python for Beginners,1033.48
Python Crash Course For Beginners,0.00
"Python Programming for Beginners and Students: The Ultimate Python Crash Course with Interactive Exercises, High-Performing Resume Templates and Priority Access to Coaches and Partner Companies",1033.48
Python and Algorithmic Thinking for the Complete Beginner (3rd Edition): Learn to Think Like a Programmer,516.48
Python Tricks: A Buffet of Awesome Python Features,516.48
Python Programming Commands Quick Reference Guide: Beginner to Advanced Cheat Sheet,774.98
Python for Beginners: A Crash Course Guide to Learn Coding and Programming With Python in 7 Days,0.00
Python for Beginners (Easy Statistics),0.00
Python for Beginners: A Step-by-Step Guide to Ease into Programming and Boost Your Analytical and Creative Thinking. (Code with Confidence Book 2),257.98
Python with Examples for Beginner - Quick Reference Guide,0.00
Python Programming for Beginners: An Introduction to the Python Computer Language and Computer Programming,840.64
"Python for Beginners: Part 1 – Getting Started with Python | A Hands-On Workbook for Complete Beginners: Learn Python Step by Step with Simple ... Python Shell, and Windows Installation",516.48
Python from Scratch: Programming for absolute beginners with Python,1291.98
Object-Oriented Python: Master OOP by Building Games and GUIs,1653.88
Master Python on Raspberry Pi: A Practical Beginner's Guide to Python Programming and Projects on Raspberry Pi,931.63
"Python Programming and SQL: 5 books in 1 - from Starter to Smarter. Master Hands-On Coding, Break Career Barriers, and Unlock Expert Techniques with a Step-by-Step Method",1755.22
100 Exercises for Practicing Python: A set of exercises with different levels of complexity | Beginner - Intermediate - Advanced | Solved exercises for all levels,773.95
Python for Absolute Beginners: Rocket through the basics in an afternoon (Learn AI & Python for Beginners),205.77
"Python, Java, SQL & JavaScript: The Ultimate Crash Course for Beginners to Master the 4 Most In-Demand Programming Languages, Stand Out from the Crowd and Find High-Paying Jobs!",1550.48
Coding Games in Python (DK Help Your Kids),600.24
"AI Agent Development For Beginners : Foundations For Beginners Python, JavaScript, & Git",0.00
Beginner's Step-by-Step Coding Course: Learn Computer Programming the Easy Way (DK Complete Courses),
"Learn Python Programming: The no-nonsense, beginner's guide to programming, data science, and web development with Python 3.7",1103.80
"Python Quick Reference for Beginners: A Beginner-Friendly Guide to Python Syntax, Core Concepts, Examples, Exercises, and Solutions (Programming for Beginners: Step-by-Step Series)",0.00
"Python Programming for Beginners: The Step-by-Step Guide to Master Python with Hands-On Projects in Data Analysis, Web Development, Machine Learning & More",0.00
"The Adventures in Python: A Journey Into Coding: Beginner's Guide to Python Programming for children, teenagers, and adults",826.68
Intro To Python Programming: Beginners Guide Series,1445.02
Python Programming for Beginners: A Hands-On Crash Course with Step-by-Step Projects to Learn Python Fast and Build Real-World Skills (Programming for Beginners: Step-by-Step Series Book 1),0.00
"The 30-Day Python Crash Course for Career Changers: The Hands-On, Beginner-Proof Plan that Turns Outsiders Into Project-Ready Developers Who Land Their First Real Role In Tech",1032.45
Python Crash Course For Beginners,0.00
Math & Python - Level 2 (Math & Python Textbook),1032.97
Python Essentials 1: The Official OpenEDG Python Institute beginners course with practical exercises – learn the basics of Python in seven days and pass the PCEP certification exam,1033.48
Python for Beginners: Part 5 - Advanced Operators and Boolean Logic A Hands-On Workbook for Complete Beginners: Learn Python Step by Step with Simple ... Boolean Logic and Nested if Statements,516.48
300+ Python Algorithms: Mastering the Art of Problem-Solving (Python MEGA bundle Book 8),516.48
"FreeCAD for Beginners, Intermediate & Senior Users Guide: A Practical Approach to 3D Modeling, Technical Drawings, Assemblies, and Smarter Design Workflows ... TECHNOLOGY USER GUIDE SERIES Book 1)",0.00
"Python, Java, SQL & JavaScript: The Ultimate Crash Course for Beginners to Master the 4 Most In-Demand Programming Languages, Stand Out from the Crowd and Find High-Paying Jobs!",1550.48
"Python for beginners: Build 10 Real-World Projects from Scratch: Learn Python Step-by-Step by Creating Apps, Automating Tasks, and Solving Everyday Problems",1809.50
Math & Python - Level 1A (Math & Python Textbook),0.00
Python Tricks: A Buffet of Awesome Python Features,516.48
Murach's Python Programming (3rd Edition),2455.23
PYTHON PROGRAMMING FOR BEGINNERS: Zero to Hero Ultimate Guide for Mastering Python Step-by-Step,1136.88
Python and Algorithmic Thinking for the Complete Beginner (3rd Edition): Learn to Think Like a Programmer,2584.48
Python & JavaScript Mastery: 2 Books In 1- Learn And Master Two Powerful Programming Languages,1627.52
Python Programming for Beginners: The Ultimate Beginner's Guide to Learn Python Programming Step-by-Step (Computer Programming),1343.68
Introduction to Programming in C,1033.48
"LangChain Programming for Beginners: A Step-By-Step Guide to AI Application Development With LangChain, Python, OpenAI/ChatGPT, Google/Gemini and Other LLMs (Code With Nathan)",0.00
"PLC PROGRAMMING & AUTOMATION: ILLUSTRATED WITH SAMPLE DESIGNS: An Illustrated Practical Guide to Ladder Logic, IEC 61131-3, HMI/SCADA, Industrial ... Control Projects, Testing, and Commissioning",671.58
"Python Programming from Beginner to Professional: A Simple Step-by-Step Guide to Learn Python, Build Real Projects, Automate Tasks, Create APIs, Analyze Data, and Start Coding with Confidence",516.48
AI Python Programming for Beginners: Free Prompts included!,0.00
Machine Learning For Absolute Beginners: A Plain English Introduction (Learn AI & Python for Beginners),673.13
Learn Python by Coding Video Games (Beginner): A step-by-step guide to coding in Python fast,304.51
Python Programming for the Absolute Beginner (Part-1): The Latest Guide for Beginners to Learn Python Programming,0.00
"BAYESIAN INFERENCE WITH PYTHON FOR BEGINNERS: A Practical Guide to Probability, Bayesian Modeling, MCMC, Prediction, and Data Analysis",0.00
"""Python for Absolut Beginners"": 3 Books in 1: Learn Python Step by Step",0.00
Python for Beginners: Complete Workbook - Parts 1-4 : A Hands-On Workbook for Complete Beginners,0.00
"Web Scraping with Python for Beginners: A Step-by-Step Guide to Extracting, Parsing, and Saving Data from Websites Using Requests and Beautiful Soup (The ... Web & Data Scraping Mastery Series Book 1)",0.00
Python AI Agents for Beginners,0.00
"CODING FOR TEENS AGES 13-19: Learn Python, Build Games and Websites, and Code with AI",0.00
Python for Beginners: The Complete 2026 Handbook: From Zero to Confident Coder,1292.50
"Python Programming: Beginner to Advanced Guide: Learn Coding, Data Analysis, and Visualization",0.00
"Python: Your Beginner’s Guide To Easily Learn Python in 7 Days (Python for Beginners, Python Programming for Beginners, Learn Python, Python Language) (Programming Languages Book 1)",516.48
100 Python Projects — From Beginner to Expert,671.58
"Python AI and Machine Learning Projects for Beginners: A Step-by-Step Guide to Building Smart Apps and Automation Tools with Scikit-Learn, OpenAI, and TensorFlow",0.00
"Python Zero to Hero: Learn Python Step-by-Step by Creating Apps, Automating Tasks, and Solving Everyday Problems (The Python Hero Series Book 1)",0.00
python and java for beginners,0.00
Python for Beginners,0.00
Python for Beginners: A Simple Step-by-Step Guide to Learning Python Programming,269.36
"Python Webhooks Playbook for Beginners : Connect Events, Apps, Alerts, and Automated Workflows",154.58
"Python for Beginners: Learn Python Programming with No Coding Experience in 7 Days: The Easiest & Quickest Way to Learn Python Coding, Programming, Web-Programming. Be a Python Programmer",0.00
"Python for Beginners: A Step‑by‑Step Audio Guide to Your First Real Programs, From Zero Experience to Confident Coding",0.00
"Python Programming for Beginners: Python Career Mastery Series, Book 1",0.00
Python Programming for the Absolute Beginner (Part-5): The Clear Beginner's Guide to Python Programming Using Hands-On Projects,0.00
Python Practical for deverlopers: The Road To Becoming A Professional Python Developer,0.00
Ultimate Step by Step Guide to Data Science Using Python: Real Word Use Cases with Downloadable Code Examples,0.00
WEB SCRAPING WITH PYTHON FOR BEGINNERS: Extract Data from Websites in 5 Minutes or Less,1343.68
Python GUI Projects for Developers : Design and build projects and user-friendly GUI applications,0.00
"Python for Beginners: Part 6 - Mastering Python Strings A Hands-On Workbook for Complete Beginners: Learn Python Step by Step with Simple Lessons, ... String Indexing, Slicing and String Methods",516.48
Python Programming for the Absolute Beginner (Part-3): The Wonderful Crash Course to Learn Python Coding Fast and Easily,0.00
"Python for Kids, 2nd Edition: A Playful Introduction to Programming",1111.03
Python Programming for the Absolute Beginner (Part-4): The Most Complete Python Programming Code from Newcomer,0.00
Python Programming for Beginners in 7 Days: The Fast-Track Guide to Becoming a Professional Coder Unlock Insider Tips and Career-Changing Skills,516.48
Python for Kids & Beginners: Learn Coding Step by Step with Fun Projects and Games,878.38
Python for AI: Beginner to Practical,0.00
STEP BY STEP PYTHON : FOR BEGINNER,0.00
Learning Python with AI : A Complete Beginner's Guide: Master Python Programming from Zero to Confident Developer using the Power of AI Assistence,827.20
"Raspberry Pi 5 Python Projects for Beginners and Developers: Build Smart Electronics, Automation Systems, Robots, IoT Devices, and Ethical Hacking Labs with Python",1291.98
"Python Programming Projects for Beginners: Step-by-Step Guidance to Building 20 Fun Programs Like Games, Chatbots, and Password Generators from Scratch",0.00
Machine Learning with Python: A Practical Beginners’ Guide (Learn Machine Learning for Beginners Book 2),205.77
Python Tkinter Projects for Beginners: Build Practical Desktop GUI Applications Step by Step,413.08
A New Keeper's Guide to Ball Pythons (from a woman who never in a million years intended to keep snakes),1136.88
Python For Beginners: Watch the videos and read the book,257.98
"Learn Python, The Easy Way - 2025 Edition: A Hands-On Guide for Beginners (PyNexus Learning Series)",971.44
Automate the Boring Stuff with Python Workbook: Projects and Exercises to Sharpen Your Python Skills,1603.73
"Python for Beginners: No Prior Knowledge Needed, Even If You're a Total Beginner (AI & Animation Tutorials)",517.00
"PostgreSQL 18 with Python for Beginners: Build Real-World Database Applications, Master SQL, and Develop Production-Ready Backend Systems Step by Step",1435.71
Coding For Kids: Before You Pick Python: The smart parent’s plain English guide to choosing your child’s first coding language,826.68
"Python Code Logic Puzzle Book: 120 Beginner Practice Puzzles for New & Self-Taught Programmers — Read, Predict, and Debug Python Code",774.98
Python Basics: A Practical Introduction to Python 3,516.48
Coding for Beginners: Python & Automation (The Practical IT Series),516.48
"PCED Certified Entry Level Data Analyst with Python - Practice Tests: Beginner-to-Intermediate Practice for Python, Data Analysis, and Reporting Decisions",1447.08
"Deep Learning with PyTorch 2.x: Beginner's Guide to Neural Networks, Computer Vision, and Model Training with Python (Modern Deep Learning with PyTorch)",878.90
Data Science Projects Using Python: Step-by-step guide for data science beginners with a practical approach (English Edition),2582.42
Create GUI Applications with Python & Qt6 (PyQt6 Edition): The hands-on guide to making apps with Python,775.50
"Ultimate Neural Network Programming with Python: Create Powerful Modern AI Systems by Harnessing Neural Networks with Python, Keras, and TensorFlow (English Edition))",1289.92
Learn Robotics Programming: Build and control cutting-edge AI robots with Raspberry Pi and Python,2067.48
"Prompting Python for Full Stack Development: Learn Python Programming by Building Full-Stack Web Apps, Automation Projects, Data Tools, and AI Applications (English Edition)",2065.42
"Programming Languages.: How to talk to machines (From the first line of code, to the language of your phone, your browser and your apps). (DevOps OnDemand Book 2)",0.00
"Python: 3 books in 1- Your complete guide to python programming with Python for Beginners, Python Data Analysis and Python Machine Learning (Programming Languages for Beginners)",1135.85
Python Data Analytics and Visualization for Beginners: A Hands-On Guide to Exploring and Visualizing Data with Pandas and Matplotlib (Python MEGA bundle Book 9),619.88
Python Zero to Hero by Building Games: Python Foundations and GUI Mini Games,0.00
Math & Python - Level 1A (Math & Python Textbook),1032.97
"PostgreSQL 18 with Python for Beginners: Build Real-World Database Applications, Master SQL, and Develop Production-Ready Backend Systems Step by Step",1435.71
Python Coding Mastery: Learn Python from Beginner to Expert,0.00
Python Programming For Beginners: The Complete Beginners Guide for Python Programming,185.09
Hacking with Python: A Beginner’s Guide to Ethical Hacking: Your easy way to coding (Hacking with Python Series Book 1),0.00
Python Programming for Beginners: A Step-by-Step Guide: 148 python source code examples,0.00
Ultimate Step by Step Guide to Machine Learning Using Python: Predictive modelling concepts explained in simple terms for beginners,0.00
Python Programming for Beginners Made Easy: Learn the Essentials in 7 Days and Fast-Track Your Path to a Coding Job with Easy Tutorials and Hands-On Projects,0.00
"Ball Python Breeding for Beginners: A Simple Guide to Genetics, Pairing, Breeding, Incubation, and Raising Your First Clutch",710.88
Python for Beginners: Part 4 - Decision Making and Conditional Statements : A Hands-On Workbook for Complete Beginners,0.00
AI for Absolute Beginners: A Clear Guide to Tomorrow (Learn AI & Python for Beginners),154.58
Python: Practical Python Programming For Beginners and Experts (Beginner Guide),619.88
Learn Python in One Day and Learn It Well: Python for Beginners with Hands-on Project. The only book you need to start coding in Python immediately,616.26
"SQLite for Beginners: Build Lightweight Databases for Python, Mobile, and Desktop Projects",154.58
Python from beginner to builder: Build real-world python applications,361.90
Python for Beginners: Learn Data Science in 5 Days the Smart Way and Remember it Longer. With Easy Step by Step Guidance & Hands on Examples. (Python ... for Beginners) (Easy Python),671.58
Coding for Kids in Python: Python Programming Projects for Kids and Beginners to Get Started Programming Fun Games (2026 Python Coding for Absolute Beginners),1033.48
"THE ULTIMATE BALL PYTHON CARE FOR BEGINNERS: The Complete Owner’s Guide to Enclosure Setup, Feeding, Handling, and Preventing the Most Common Health Problems",1343.68
The Greedy Python/Ready-to-Read Level 1 (The World of Eric Carle),288.49
Intro To Python Programming: Beginners Guide Series Workbook,1289.92
Ball Pythons: Beginner to Breeder: a Comprehensive Guide to the Python Regius,774.98
Python for Beginners: Part 2 - Python Variables : A Hands-On Workbook for Complete Beginners,0.00
"Python for Beginners: Part 3 - Strings, Input and Output: A Hands-On Workbook for Complete Beginners",0.00
Python for Beginners : Let's Learn Python in 7 Days,540.26
Python for Beginners: The Easy Guide to Coding & Data Science,1292.50
"200+ Advanced Python Scripts for Beginners Volume 2: Production-ready Solutions For Automation, Data, Web, Devops, And More (Python MEGA bundle Book 15)",619.88
"Python Quick Reference for Beginners: A Beginner-Friendly Guide to Python Syntax, Core Concepts, Examples, Exercises, and Solutions (Programming for Beginners: Step-by-Step Series)",0.00
Python For Beginners: A Simple Step-by-Step Guide for Absolute Beginners with No Programming Experience,464.78
"200+ Advanced Python Scripts for Beginners : Production-ready Solutions For Automation, Data, Web, Devops, And More. (Python MEGA bundle Book 14)",619.88
"Python API Development for Beginners: Build, Secure, Test, and Deploy REST APIs with FastAPI, Databases, Authentication, Docker, and Real-World Python Projects — Step by Step",0.00
Python Machine Learning: Python for Beginners to Learn New Techniques,0.00
"Python agentic framework for beginners: Step-by-Step Techniques for Creating AI Agents that Plan, Decide, and Execute with Python",568.18
"Python Automation for Beginners: Automate Files, Excel, Emails, Reports, Web Tasks, and Everyday Workflows with Practical Python Projects",0.00
"Python for Beginners Who Keep Quitting: Learn the Basics, Read the Errors, Finish Something",0.00
"Python for Beginners: Learn to Code the Easy Way – A Step-by-Step Guide to Programming with Python: Discover how to build real programs, automate tasks, and unlock the power of coding",408.43
"Ball Python Care Guide for Beginners: Everything You Need to Know to Successfully Tam, Breed, and Care for Ball Pythons, Health, Diet, Behavior, and Bonding",0.00
"Python Code Logic Puzzle Book: 120 Beginner Practice Puzzles for New & Self-Taught Programmers — Read, Predict, and Debug Python Code",774.98
Python for Beginners: Beginners Guide to Learn the Basics of Coding with Python,0.00
PYTHON PROGRAMMING FOR BEGINNERS: Zero to Hero: Mastering Python Step-by-Step,
Python Programming for Absolute Beginners: Learn Python Fast with Real-World Examples and Practical Exercises - Your Essential Guide to Confident Coding and Kickstarting Your Tech Career!,0.00
Python Programming for Beginners 2026,1550.48
Python for Data Science: The Ultimate Beginner-to-Expert Guide,0.00
"Python Programming for Beginners 2026 : Build Skills, Write Confident Code, Create Projects from Day One",0.00
"Python Programming from Beginner to Professional: A Simple Step-by-Step Guide to Learn Python, Build Real Projects, Automate Tasks, Create APIs, Analyze Data, and Start Coding with Confidence",516.48
Getting Started with Python: A beginner-friendly guide using Anaconda and AI support,0.00
Python Free Threading: A Guide to GIL-Less Parallel Programming,0.00
Python for Beginners: A crash course to learn Python Programming in 1 Week (Programming Languages for Beginners),773.95
"Python Crash Course, 3rd Edition: A Hands-On, Project-Based Introduction to Programming",1550.48
Python Basics: A Practical Introduction to Python 3,1491.54
"Ultimate Machine Learning Algorithms with Python: Master Supervised, Unsupervised, Ensemble, and Deep Learning Models with Python, Scikit-Learn, Real ... and Production ML Workflows (English Edition)",2323.92
Python For Enterprise Applications: A Gentle Introduction,1742.29
"Python for Beginners: Part 2 - Python Variables A Hands-On Workbook for Complete Beginners: Learn Python Variables Step by Step with Simple Lessons, Practical Exercises, and Visual Studio Code",516.48
Creating APIs with Python Explained by ChatGPT: Your Road from Novice to Skilled Professional,0.00
"Hands-On Cisco Automation with Python: Streamline Network Tasks Using Netmiko, NAPALM, and Nornir for Beginners",2067.48
Python Apps on Visual Studio Code: Develop apps and utilize the true potential of Visual Studio Code (English Edition),1543.76
"PYTHON FOR DATA ANALYSIS: A PRACTICAL GUIDE YOU CAN’T MISS TO MASTER DATA USING PYTHON. KEY TOOLS FOR DATA SCIENCE, INTRODUCING YOU INTO DATA MANIPULATION, DATA VISUALIZATION, MACHINE LEARNING.",1033.48
"Prompting Python Data Visualization: Design, Build, and Automate Visual Insights with Python and AI (English Edition)",2020.95
"Python Code Logic Puzzle Book: 120 Beginner Practice Puzzles for New & Self-Taught Programmers — Read, Predict, and Debug Python Code",774.98
"Python for Bioinformatics Beginners: Data Handling, Sequence Analysis, and Basic Genomic Workflows",0.00
Python for Beginners: Beginners Guide to Learn the Basics of Coding with Python,0.00
PYTHON PROGRAMMING FOR BEGINNERS: Zero to Hero: Mastering Python Step-by-Step,
Python Programming for Absolute Beginners: Learn Python Fast with Real-World Examples and Practical Exercises - Your Essential Guide to Confident Coding and Kickstarting Your Tech Career!,0.00
Getting Started with Python: A beginner-friendly guide using Anaconda and AI support,0.00
Python for Data Science: The Ultimate Beginner-to-Expert Guide,0.00
"Python Programming for Beginners 2026 : Build Skills, Write Confident Code, Create Projects from Day One",0.00
Python Programming for Beginners 2026,1550.48
The Ultimate Python Exercise Book: 700 Practical Exercises for Beginners with Quiz Questions,0.00
"GAME PROGRAMMING WITH PYTHON: Learn, Build, and Master Game Engineering: A Journey from Beginner to Professional",0.00
"Python Programming from Beginner to Professional: A Simple Step-by-Step Guide to Learn Python, Build Real Projects, Automate Tasks, Create APIs, Analyze Data, and Start Coding with Confidence",516.48
"BURMESE PYTHON: Pet Owners And Beginners Guide On How To Take Care For Their Burmese Python, Including Their Life Cycle, Maintenance, Health Care, ... Communication, Socialization And Cost",665.90
"Learning PySpark from Scratch: A Step-by-Step Guide to Data Processing, DataFrames, and Distributed Computing with Python (Programming for beginners Book 8)",516.48
"THE CHILDREN'S PYTHON CARE GUIDE: A Complete Beginner’s Guide to Understanding, Housing, Feeding, Handling, Health, Safety, and Responsible Care for Pet Pythons",697.95
"Python for Data Visualization for Beginners: Visualize Your Data using Pandas, Matplotlib and Seaborn, Step-by-Step Guide with Hands-on Projects and Exercises ... Learning & Data Science for Beginners)",516.48
"Python Bible For Beginners 2026: A Step-by-Step Guide to Learning Python from Scratch, Mastering Core Programming Concepts, Automating Everyday Tasks, and Building Real-World Projects with Confidence",1034.00
"The Adventures in Python: Beyond the Code: A Beginner's Guide to Python Programming Through Functions, Files, Strings, Dictionaries, Cryptography, and Searching for children, teenagers, and adults",826.68
Python for Beginners: An Introduction to Learn Python Programming with Tutorials and Hands-On Examples (Programming for Beginners),154.58
Think in Python A Beginner’s Guide to Python Programming: Learn Python from First Principles • Step by Step________________________________________ (Think ... Zero Fear to Research-Ready Code Book 1),0.00
"Python Programming For Beginners: A Simple Step-by-Step Guide to Master the Essentials of Coding & Create Real World Applications, Everything From Automating Tasks to Developing Games and More!",0.00
Artificial Intelligence with Python: A Comprehensive Guide to Building Intelligent Apps for Python Beginners and Developers,1472.93
Python for Beginners: A crash course to learn Python Programming in 1 Week (Programming Languages for Beginners),515.45
